Post_ID,Post_Type,Hashtags,Words_Count,Likes,Shares,Comments,Views,Follower_Count,Account_Age,Sentiment_Score,Day_of_Week,Engagement_Level,Engagement_Rate,Hashtag_Density,Influence_Score
2ec413c5-43fd-4693-9833-89658302aa7d,Mixed,7,249,240.0,43,28,1002,8876,5,0.78,Friday,Low,0.31037924151696605,0.028112449799196786,44380
a91243c7-ac3a-4a8b-b050-a212a990165e,Video,9,242,496.42685185185184,48,30,502,7883,10,-0.91,Sunday,Low,,0.0371900826446281,78830
b5171cee-2bfb-4578-a553-b331ed6d9351,Image,5,55,346.0,58,54,1167,10274,7,0.62,Friday,High,0.3924592973436161,0.09090909090909091,71918
4984f80e-7e9d-4989-99b2-1ea5b83f63d6,Text,11,279,481.0,9,19,1424,14248,8,-0.19,Wednesday,Low,0.3574438202247191,0.03942652329749104,113984
51c4f0ef-5e98-42cc-b944-25dc190d1977,Text,10,31,472.0,67,40,539,3311,4,-0.79,Sunday,High,1.0742115027829313,0.3225806451612903,13244
b76c82f2-4b6b-4328-85aa-487e29343df1,Mixed,13,168,654.0,98,20,1392,6776,8,-0.68,Friday,Low,0.5545977011494253,0.07738095238095238,54208
c3950d4b-4953-4a04-b30e-486538ffb7c0,Mixed,6,42,496.42685185185184,59,47,1519,5798,10,0.88,Thursday,High,,0.14285714285714285,57980
2ecb36da-8785-49a5-a451-293dd254abd8,Mixed,17,105,560.0,44,56,1526,5610,5,0.79,Monday,High,0.4325032765399738,0.1619047619047619,28050
ba44540a-5a0e-4f96-89cb-aeda99bb1d80,Mixed,7,249,579.0,46,26,1427,11370,6,-0.5,Friday,High,0.4562018220042046,0.028112449799196786,68220
d7ba7188-d236-4c9f-8cb7-c056b7eb7867,Video,0,64,549.0,64,0,585,12357,8,-0.33,Friday,Low,1.047863247863248,0.0,98856
4580611c-beaa-4417-a667-9f81c0f7109d,Text,1,231,640.0,44,19,1139,14260,8,-0.63,Monday,High,0.617208077260755,0.004329004329004329,114080
8dff7138-8290-42af-9d34-a23c3fcf2289,Video,0,47,475.0,67,66,1376,12420,3,0.84,Wednesday,High,0.4418604651162791,0.0,37260
6b07a959-c53a-48fd-9aeb-bdd5f402edb8,Video,16,248,496.42685185185184,46,21,1930,12744,8,0.4,Sunday,High,,0.06451612903225806,101952
448fdbc5-f782-4cb1-98be-09b6c3366663,Text,3,106,1008.0,84,56,1201,4352,9,-0.79,Friday,High,0.9558701082431307,0.02830188679245283,39168
e4674607-3e9e-4a98-8180-756bb7d4010e,Mixed,16,56,641.0,83,20,1412,15934,6,0.62,Sunday,High,0.5269121813031161,0.2857142857142857,95604
